# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
fedora;1;2023-02-22 20:16:01;-1;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;99.97
fedora;1;2023-02-22 20:16:01;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:16:01;23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
