th_limit_p10,th_limit_avg,th_limit_p75,budget_p10,budget_avg,budget_p75,delta_p10,delta_avg,delta_p75,rpq_occ_p10,rpq_occ_avg,rpq_occ_p75,p,i,d,sp,ewma
255,255.0,255,102,108.917,113,-7,0.004833333333333334,10,133,161.5905,196,8,16,0,51,10
255,255.0,255,43,59.616,68,-17,-0.03,23,123,161.68533333333335,204,8,16,0,101,6
255,255.0,255,109,118.68933333333334,125,-10,-0.008833333333333334,12,125,161.66966666666667,208,8,16,0,41,10
255,255.0,255,61,68.51966666666667,71,-8,-0.012333333333333333,10,132,161.63483333333335,203,8,16,0,91,10
255,255.0,255,115,121.32766666666667,126,-6,-0.03816666666666667,8,154,163.001,173,8,16,0,41,2
255,255.0,255,51,55.82833333333333,58,-4,0.0036666666666666666,5,123,160.96316666666667,209,8,16,0,101,15
255,255.0,255,140,144.178,149,-4,0.0125,4,159,165.90616666666668,173,8,16,0,21,2
255,255.0,255,89,110.53183333333334,127,-23,-0.034333333333333334,38,130,162.211,204,8,16,0,51,2
255,255.0,255,92,111.5065,120,-19,-0.04933333333333333,28,126,163.55033333333333,218,8,16,0,51,6
255,255.0,255,48,57.99133333333333,61,-9,-0.008333333333333333,12,130,160.8015,206,8,16,0,101,10
255,255.0,255,76,101.00383333333333,121,-26,-0.0055,45,126,162.7255,212,8,16,0,61,2
255,255.0,255,150,160.5785,165,-10,0.0018333333333333333,14,129,163.24,212,8,16,0,1,10
255,255.0,255,124,127.66416666666667,132,-4,-0.00016666666666666666,4,133,163.23616666666666,198,8,16,0,31,15
255,255.0,255,73,75.67083333333333,79,-4,-0.0008333333333333334,4,129,161.10466666666667,202,8,16,0,81,15
255,255.0,255,82,86.522,90,-3,0.001,4,130,161.90216666666666,194,8,16,0,71,15
255,255.0,255,161,164.14583333333334,169,-5,-0.034833333333333334,4,161,165.855,173,8,16,0,1,2
255,255.0,255,62,67.13216666666666,69,-5,0.0013333333333333333,5,126,161.77633333333333,208,8,16,0,91,15
255,255.0,255,62,80.07916666666667,90,-19,-0.03333333333333333,28,123,162.08783333333332,217,8,16,0,81,6
255,255.0,255,136,147.72766666666666,152,-10,-0.006333333333333333,13,121,160.78783333333334,207,8,16,0,11,10
255,255.0,255,39,61.14033333333333,77,-23,-0.009,38,130,162.85,203,8,16,0,101,2
255,255.0,255,130,139.37933333333334,146,-9,-0.015666666666666666,12,128,162.28516666666667,210,8,16,0,21,10
255,255.0,255,104,108.078,110,-4,-0.005833333333333334,4,133,163.717,200,8,16,0,51,15
255,255.0,255,50,69.95366666666666,89,-19,-0.016166666666666666,39,134,161.64166666666668,205,8,16,0,91,2
0,241.34116666666668,255,-61,86.15933333333334,102,-8,-0.03183333333333333,4,0,151.1165,215,8,16,0,61,15
255,255.0,255,76,90.20633333333333,98,-15,-0.07883333333333334,21,132,162.24466666666666,203,8,16,0,71,6
255,255.0,255,128,139.48083333333332,148,-12,0.008333333333333333,20,134,161.5725,202,8,16,0,21,6
255,255.0,255,84,100.73833333333333,109,-18,-0.009,25,124,162.73733333333334,216,8,16,0,61,6
255,255.0,255,57,70.47733333333333,77,-14,-0.037,19,133,162.41183333333333,200,8,16,0,91,6
255,255.0,255,150,154.171,158,-4,-0.0195,4,161,165.8885,172,8,16,0,11,2
255,255.0,255,152,157.32616666666667,159,-5,-0.0005,5,122,162.19016666666667,209,8,16,0,1,15
255,255.0,255,118,131.35383333333334,139,-19,-0.034,20,122,163.385,201,8,16,0,31,6
255,255.0,255,101,119.28716666666666,131,-18,-0.033166666666666664,28,124,161.2025,214,8,16,0,41,6
255,255.0,255,145,147.378,151,-3,0.0008333333333333334,3,139,162.947,192,8,16,0,11,15
255,255.0,255,138,149.32983333333334,156,-10,-0.03166666666666667,18,139,161.37716666666665,187,8,16,0,11,6
255,255.0,255,80,87.60333333333334,92,-7,0.007,11,131,160.6415,206,8,16,0,71,10
255,255.0,255,70,76.48666666666666,80,-8,0.004,10,131,159.524,195,8,16,0,81,10
255,255.0,255,66,92.97283333333333,112,-26,-0.042666666666666665,44,126,164.54566666666668,210,8,16,0,71,2
228,254.87416666666667,255,-37,117.102,123,-4,-0.017833333333333333,4,0,161.84966666666668,198,8,16,0,41,15
255,255.0,255,120,128.781,133,-9,-0.019333333333333334,13,129,161.7915,201,8,16,0,31,10
255,255.0,255,91,98.36266666666667,103,-7,0.005,10,134,161.45466666666667,204,8,16,0,61,10
255,255.0,255,60,81.79133333333333,100,-23,-0.028833333333333332,38,133,163.47983333333335,205,8,16,0,81,2
217,254.79233333333335,255,-21,135.14433333333332,143,-5,-0.028833333333333332,4,0,160.333,199,8,16,0,21,15
255,255.0,255,128,131.965,136,-4,-0.0465,3,159,163.5575,169,8,16,0,31,2
255,255.0,255,146,159.7615,167,-14,-0.04133333333333333,21,130,161.78783333333334,199,8,16,0,1,6
