kp,ki,setpoint,ewma
8,16,65,1
8,16,65,4
8,16,65,6
8,16,65,8
8,16,65,9
8,16,65,13
8,16,65,15
8,16,45,1
8,16,45,4
8,16,45,6
8,16,45,8
8,16,45,9
8,16,45,13
8,16,45,15
