kp,ki,setpoint,ewma
8,16,85,1
8,16,85,6
8,16,85,15
8,16,45,1
8,16,45,4
8,16,45,9
8,16,45,15
8,16,25,1
8,16,25,4
8,16,25,8
8,16,25,9
8,16,25,15
8,16,5,4
8,16,5,15
