,_HP_LLC_MAX,_HP_LLC_MEAN,_HP_LLC_MIN,_HP_MB_MAX,_HP_MB_MEAN,_HP_MB_MIN,_LP_LLC_MAX,_LP_LLC_MEAN,_LP_LLC_MIN,_LP_MB_MAX,_LP_MB_MEAN,_LP_MB_MIN,hp_instance,lp_instance,hp_llc,lp_llc,hp_workload,lp_workload,hp_mba,lp_mba,score,socket_IDI_MISC.WB_UPGRADE,hp_core_MEM_LOAD_RETIRED.L3_HIT,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,hp_core_IDI_MISC.WB_UPGRADE,hp_core_IDI_MISC.WB_DOWNGRADE,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_metric_L2 misses trigger SFBINV exclusive forward line,lp_core_metric_L2 misses trigger SFBINV mod line,hp_core_xnps_hit_to_miss,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,system_metric_L3_hit_rate_pct,lp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_CHA % cyles Fast asserted,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,hp_core_metric_L2 misses trigger SFBINV exclusive forward line,hp_core_metric_L2 misses trigger SFBINV mod line,hp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_memory bandwidth total (MB/sec),hp_core_metric_L2_hit_rate_pct,hp_core_metric_L3_hit_rate_pct,lp_core_metric_L2_hit_rate_pct,lp_core_metric_L3_hit_rate_pct,system_UNC_M_RPQ_OCCUPANCY,system_UNC_M_RPQ_INSERTS,system_UNC_M_WPQ_INSERTS,system_UNC_M_WPQ_OCCUPANCY,system_metric_memory WPQ write latency (ns),system_metric_memory RPQ read latency (cycle)
rdt_48_8_11_1_1_specjbb2015_sepcjbb_lp_100_20.sh,39424,38380.7552448,35392,25978.8,2468.33216783,0,3248,453.482517483,0,3248,6.90652680653,0,48,8,11,1,specjbb2015,sepcjbb,100,20,2800,18720255.5956207,831301.244172,8613.7137466,779548.026565,1436662.17339,142998.765607,0.00201105612822,0.00404742312786,,1457.8833638,1828.82087592,69.5947556183,95.43645188220768,10.9555718825,0.02584913668764884,178.132150446,0.07810421914969999,0.0823706653031,58.6027722568,14968.16124725096,61.7929820968,70.9712843772,38.7823708754,70.289684906,9556113925.773388,195712198.5392061,97185947.14418244,32522490476.98045,42345.05493363112,50.63685636536514
rdt_48_8_11_1_1_specjbb2015_sepcjbb_lp_100_30.sh,39424,38340.3738318,35840,25481.3,2560.37009346,0,2800,541.682242991,0,2800,7.09205607477,0,48,8,11,1,specjbb2015,sepcjbb,100,30,2800,19712634.86665499,845225.662537,9861.75077528,820705.281859,1644344.50105,215081.472776,0.00161266190562,0.00460369505141,,1786.10414114,1865.24893627,42.7066252534,97.84538129160342,7.82432843122,0.03103636324455904,197.75106974,0.0643686946558,0.061864942971,59.5789894859,15760.08852452229,61.5313451585,69.1434491945,12.6005100275,65.8709313259,8671666574.577053,180893128.2407857,128788901.825102,32166377527.83793,26587.79175292264,50.34012440186417
rdt_48_8_11_1_1_specjbb2015_sepcjbb_lp_100_40.sh,39200,38095.3183857,35840,30426.8,2253.37892377,0,2800,724.986547085,0,2800,7.115470852020001,0,48,8,11,1,specjbb2015,sepcjbb,100,40,2800,18327037.63568763,846554.117338,8236.26734186,763133.575659,1120719.2011,190617.105967,0.0042796050684,0.00873703914776,,1636.0608444,2314.85907194,73.1834735572,95.632684461418,11.1218356206,1.608312783046734,235.437742055,0.0219797007313,0.03514625416330001,53.1271733936,12800.45006749969,62.5894694649,70.191078891,21.4516175545,68.4079691467,6792008706.331888,139232271.7825849,65472391.20618465,24474795039.83401,51428.72279753564,50.44683250844643
rdt_48_8_11_1_1_specjbb2015_sepcjbb_lp_100_50.sh,39424,38339.84,35728,30323.5,2262.68682353,0,2800,488.056470588,0,2800,6.934823529410001,0,48,8,11,1,specjbb2015,sepcjbb,100,50,2800,18821024.08731373,902920.151304,8371.60625872,783782.259267,1262124.96573,238809.509686,0.00177836786077,0.00498124564349,,1481.24687993,1723.57791688,45.109295483,97.67093079090773,9.43156794442,0.003793966082526061,217.793911047,0.0365904807979,0.0365798325971,55.06043312609999,13400.12546637171,64.2519515931,65.2499862281,17.4043681165,61.97888751390001,6677481148.936908,135753276.9480335,57529873.91452231,23922527481.88713,56020.19570800992,50.49361913650382
rdt_48_8_11_2_1_specjbb2015_sepcjbb_lp_100_10.sh,39424,38241.8580645,34944,29021.8,2183.84064516,0,3920,574.2107526880001,0,3920,6.061290322580001,0,48,8,11,2,specjbb2015,sepcjbb,100,10,2900,17756223.27044828,872266.8996450001,5504.64167912,739244.4388359999,1177769.14928,188804.396147,0.0008222666952579999,0.00362811142445,,1526.3704486,1694.26128347,36.2486963304,95.61452368751348,18.6569439412,0.002086259712870873,190.566562858,0.0217253953582,0.0304890018658,54.7860332305,11374.77802670969,63.8120188372,68.1672164779,25.2832703306,77.5537999058,4771634802.206985,96190024.63946116,54733022.47066637,23683259610.73758,62385.44134638154,49.52966965409855
rdt_48_8_11_2_1_specjbb2015_sepcjbb_lp_100_100.sh,39200,37800.4028777,34832,30384.6,2188.89136691,0,2912,1042.91606715,0,2912,5.91990407674,0,48,8,11,2,specjbb2015,sepcjbb,100,100,2800,18396989.44224551,977203.965825,8036.48356456,766033.784044,925951.7628360001,201471.161236,0.00161878955759,0.00599975431201,,1680.79337232,1854.79798208,81.5321686115,96.05033878653431,9.54606838647,0.01974849723854865,166.4778592,0.07541183505020001,0.0720985988649,48.95867040069999,9825.530993045108,72.5118193624,68.3088260099,28.1864847438,75.16430886319999,9247820067.822205,189396111.421242,74605536.25283316,30401279978.73003,117248.1083466664,50.36331573204843
rdt_48_8_11_2_1_specjbb2015_sepcjbb_lp_100_20.sh,39424,38092.95421690001,33376,24929,2188.92771084,0,5600,737.040963855,0,5600,6.142891566269999,0,48,8,11,2,specjbb2015,sepcjbb,100,20,2800,20931251.32212844,813631.220853,7746.32291342,871613.518504,1225568.8504,169220.472909,0.000689810736117,0.00368497241458,,1649.82949203,1917.39662647,39.7054509104,95.8901258974092,8.17118587859,0.04224500637835212,213.907231585,0.0183642642646,0.0257682231294,51.1991193124,13892.65594825902,61.9980022341,70.3598792176,19.3012198222,76.1469149122,5780653022.545676,116196942.8187823,63963607.82816706,26264465395.92299,59471.27325082193,49.97949198012773
rdt_48_8_11_2_1_specjbb2015_sepcjbb_lp_100_30.sh,39424,38217.39379469999,34384,25425.8,2331.87016706,0,4480,601.164677804,0,4480,7.05465393795,0,48,8,11,2,specjbb2015,sepcjbb,100,30,2800,19957537.35905667,847473.650851,7438.24019073,830904.296461,1443411.74733,169318.283582,0.00182104449195,0.00525846369467,,1450.76034071,1938.187444,46.92059504,97.57575435067572,9.55968312524,0.05666137246553896,203.979080659,0.0249734206775,0.0342429465835,56.7377104589,13646.95522887578,63.8631233055,70.34374055880001,35.6059814916,72.7729648466,6056054949.443172,125169052.8706161,68691072.16395187,25721876613.64041,48422.13803402472,49.92769421631728
rdt_48_8_11_2_1_specjbb2015_sepcjbb_lp_100_40.sh,39424,38287.6215054,34384,25557.4,2181.73483871,0,4368,594.2021505380001,0,4368,5.926666666669999,0,48,8,11,2,specjbb2015,sepcjbb,100,40,2900,18855464.18203875,817029.2384439999,5675.61500558,785079.653459,1161308.96298,201784.951268,0.00127426795862,0.00359355218694,,1481.23263189,1572.36907566,35.1921616854,98.01621575107801,13.920502854,0.02638513322466325,207.463188571,0.0624755214796,0.05467277573009999,52.35243130609999,10530.45510228965,63.7167095137,70.85739327659999,22.6052783983,76.5518623458,5941543431.504932,119588021.5761984,67970436.50043657,28380683986.0344,52776.19004759299,50.12159267367444
rdt_48_8_11_2_1_specjbb2015_sepcjbb_lp_100_50.sh,39088,37897.592233,33488,26555.6,2145.86626214,0,5376,1010.99029126,0,5376,5.91359223301,0,48,8,11,2,specjbb2015,sepcjbb,100,50,2900,19204214.77471437,831673.345091,5840.09895352,799564.3216149999,1420234.50113,173343.84533,0.000778151137371,0.00386891715208,,1428.51364819,1512.84605092,35.7250959716,95.95125250568651,8.878745316549999,0.005228615665829385,193.448845695,0.0594592272389,0.0494626995845,57.0144181225,11687.24908661411,66.68303494359999,70.25769948189999,24.8069623741,77.9132826676,5010273870.218161,104650863.6648523,38889398.22628141,24526193282.17256,26216.02417545453,50.27167416359055
rdt_48_8_11_3_1_specjbb2015_sepcjbb_lp_100_10.sh,39424,38208.1513002,34384,27451.6,2201.4858156,0,4816,638.108747045,0,4816,5.572813238769999,0,48,8,11,3,specjbb2015,sepcjbb,100,10,2900,17624747.68179069,778845.875629,5713.50768959,733525.983933,1097309.66437,172920.186975,0.00210735208173,0.005173171492199999,,1535.97973955,1434.03497888,27.2204480254,97.58555684454755,7.78009734979,0.0832575966077509,187.415680447,0.0563564031354,0.056288199976,52.1406594992,11606.52962513264,60.0636384603,71.21944612979999,18.3781307776,84.1588240983,8003991648.73333,152237211.9005089,101339725.3905455,29891020640.58739,47899.96891383235,50.51749634326104
rdt_48_8_11_3_1_specjbb2015_sepcjbb_lp_100_100.sh,39424,38174.0552486,32368,27701.2,3192.83554328,0,5152,734.084714549,0,5152,5.730755064459999,0,48,8,11,3,specjbb2015,sepcjbb,100,100,2900,20425909.39545189,804143.382726,15823.995214,850301.8885560001,2047310.5274,191426.756305,0.00109164110868,0.00377197507806,,1580.11744442,2023.13717701,43.4775866001,96.84121230816686,9.99455934668,0.02404307073299578,262.652269735,0.0220250182998,0.0302069858548,63.7760058809,43014.15116051041,61.86528183479999,63.29607275430001,17.0892085635,80.3176810204,21681367739.33548,398628640.3899524,198220443.1892139,49693890880.68869,35652.39015669891,56.02808966361729
